"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1685437129252589568","Sat Jul 29 23:48:20 +0000 2023","0","@BPJSKesehatanRI selamat pagi Min. ijin nanya terkait status yang tertulis di mjkn adalah usia anak ppu &gt; 25 kalau ingin melanjutkan dalam program jkn alurnya bagaimana ya untuk melanjutkan menjadi mandiri?","1685437129252589568","","BPJSKesehatanRI","in","Yogyakarta, Indonesia","0","1","0","https://twitter.com/sapesih/status/1685437129252589568","485434069","sapesih"
"1685429760112152576","Sat Jul 29 23:19:03 +0000 2023","0","@BPJSKesehatanRI Pagi BPJS apakah pasien BPJS dibatasi dalam rawat inap maupun obat2annya ya? Spt rawat inap 3-5hari saja utk obat nutrisi 1x dlm sehari. Mohon tanggapan dan penjelasannya. Mama saya pensiunan PNS dan BPJSnya kelas 1.","1685429760112152576","","BPJSKesehatanRI","in","","0","1","0","https://twitter.com/Budisetya2173/status/1685429760112152576","1543228111760031749","Budisetya2173"
"1685427550020141056","Sat Jul 29 23:10:16 +0000 2023","0","@BPJSKesehatanRI Pagi BPJS mohon info nih apa bener pasien BPJS dibatasi ? Rawat inap 3-5hari juga obat2nya spt obat nutrisi 1x dlm sehari? Dan apabila masuknya diagnosanya sama dg kemarin maka tidak dpt BPJS! Ini terjadi mama saya. Mohon penjelasan dan tanggapannya. Trim's","1685427550020141056","","BPJSKesehatanRI","in","","0","1","0","https://twitter.com/Budisetya2173/status/1685427550020141056","1543228111760031749","Budisetya2173"
"1685422085827608576","Sat Jul 29 22:48:33 +0000 2023","0","@BPJSKesehatanRI Min sekarang Bpjs yg kls II berapa ya? Untuk biaya tunggakan apakah harus dilunasi secara langsung atau bisa nyicil?","1685422085827608576","","BPJSKesehatanRI","in","","0","1","0","https://twitter.com/softbutter22/status/1685422085827608576","1433073831636176901","softbutter22"
"1013281350655270917","Sat Jul 29 16:51:06 +0000 2023","0","@BPJSKesehatanRI @JESJAMBI Captcha tetap ga mau muncul udh uninstal dan bersihkan cache jg ttp sama tlg jgn launch apk yg belum beres dong tweet soal ini udh dari feb 2019 masa skrg udh 2023 ga dibenahi!!!","1685332129750904832","","BPJSKesehatanRI","in","Next to My Amplifier","0","1","0","https://twitter.com/Redamntus/status/1685332129750904832","442981609","Redamntus"
"1685244217260740608","Sat Jul 29 16:21:26 +0000 2023","0","@BPJSKesehatanRI Dear @BPJSKesehatanRI saya mau bayar denda iuran bpjs kesehatan. Di aplikasi status masih aktif tapi pas mau bayar denda supaya bisa pake fasilitas bpjs kok malah No. tidak terdaftar. Gimana nih? Tolong solusinya yg simpel no belibet makasih","1685324664976093186","","BPJSKesehatanRI","in","Patinesia","0","2","0","https://twitter.com/jauharluthfi_/status/1685324664976093186","1163440969443753984","jauharluthfi_"
"1685285503145521152","Sat Jul 29 14:11:42 +0000 2023","0","@BPJSKesehatanRI Terimakasih kak ","1685292016245321728","","BPJSKesehatanRI","in","","0","0","0","https://twitter.com/ihhgilaa/status/1685292016245321728","1352654367757766657","ihhgilaa"
"1685285503145521152","Sat Jul 29 13:45:49 +0000 2023","0","@BPJSKesehatanRI Kak mau tanya kak gimana ya kak cara mengaktifkan BPJS yang non aktif karena usia anak PPU &gt; 21 tahun dan 25 tahun?","1685285503145521152","","BPJSKesehatanRI","in","","0","1","0","https://twitter.com/ihhgilaa/status/1685285503145521152","1352654367757766657","ihhgilaa"
"1685273684142063616","Sat Jul 29 13:40:35 +0000 2023","0","@BPJSKesehatanRI @katuralisasi naha jawabanana teu akur https://t.co/8dniEvkpkr https://t.co/3eKmfmWBXe","1685284185521721344","https://pbs.twimg.com/media/F2NVAnXaYAUxmZQ.jpg","BPJSKesehatanRI","in","Citayeum, Indonésya","0","1","0","https://twitter.com/wikidisastra/status/1685284185521721344","74729362","wikidisastra"
"1685275934306553856","Sat Jul 29 13:07:48 +0000 2023","0","@BPJSKesehatanRI buat ribet pasien...kecelakaan tunggal mau ke rumahsakit..harus urus surat2x keterangan polisi segala orang sakir bukan diobati terlebih dahulu...malah buat laporan dulu..dagelan","1685275934306553856","","BPJSKesehatanRI","in","Cirebon Barat, Indonesia","0","1","0","https://twitter.com/DediFauzi_/status/1685275934306553856","307445802","DediFauzi_"
